# Created at 2021-03-26 16:46 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
133,164,P692,-2355010.0854,-3741981.8708,4583623.822,46.224494073,-122.184191208,1492.2237,0,TRM59800.80     NONE,P692,TRIMBLE,TRIMBLE NETR9,5.42,5308K41930
11,1,ARLI,-2267100.7604,-3608212.0653,4729822.6747,48.174062703,-122.141842253,23.622,0,TRM57971.00     SCIT,ARLI,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5331K44835
26,10,CPUD,-2181854.5262,-3731672.0136,4674386.7366,47.430173611,-120.31420727,186.408,0,TRM55971.00     TZGD,CPUD,TRIMBLE,TRIMBLE NETR9,Nav 5.01 / Boot 5.01,5036K70093
412,101,CSTL,-1936144.36283162,-3694464.7676057,4809737.3115094,49.258185819,-117.657517325,514.418,0,TPSCR.G3        TPSH,CSTL,TOPCON,TPS NET-G3A,,
10,103,LNGB,-2348287.2531,-3649659.5326,4658320.8019,47.218781567,-122.758298331,2.785,0,LEIAT504GG      LEIS,LNGB,LEICA,LEICA GR30,,
766,105,SC03,-2381863.7566,-3570681.6615,4704701.8543,47.816582877,-123.705720606,2018.801,0,ASH701945B_M    SCIT,SC03,TRIMBLE,TRIMBLE NETRS,Nav 1.3-0 / Boot,4612261938
767,109,PABH,-2439933.03420401,-3589637.29053126,4657876.48212591,47.212795689,-124.204564289,13.278,0,TRM59800.00     SCIT,PABH,SEPTENTRIO,SEPT POLARX5,,
17,11,CPXF,-2332868.87071751,-3696443.81553045,4630011.54263063,46.840080975,-122.256502,533.975,0,LEIAR20         LEIM,CPXF,TRIMBLE,TRIMBLE NETR9,Nav 5.43 / Boot ,
768,110,P401,-2428254.2729,-3525612.6626,4712227.0383,47.937183781,-124.557001444,36.5119,0,TRM59800.00     SCIT,P401,SEPTENTRIO,SEPT POLARX5,,
223,112,BRN3,-2271962.4055,-3496436.062,4810221.9052,49.269888769,-123.0155606,32.983,0,TRM55971.00     NONE,BRN3,TRIMBLE,TRIMBLE NETR9,Nav 5.44 / Boot 5.44,
234,113,SACH,-2329103.88836422,-3529492.78324524,4758844.46694111,48.566670397,-123.420724944,50.076,0,TPSCR.G3        TPSH,SACH,TOPCON,TPS NET-G3A,,
71,114,SEQM,-2331706.6998,-3574985.8634,4723697.5334,48.091411925,-123.113525327,35.007,0,TRM115000.00    NONE,SEQM,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5823R50469
155,115,WEBG,-2398303.15403125,-3755490.47517005,4548242.81688043,45.779572619,-122.562809978,67.657,0,TRM57971.00     NONE,WEBG,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,
314,116,RYA1,-1884129.22283616,-3818620.6497762,4733509.55632122,48.217513506,-116.261994508,648.918,0,TRM115000.00    NONE,RYA1,SEPTENTRIO,SEPT POLARX5,5.2.0,3013504
441,117,BPKT,-2205340.90184564,-3769893.4726225,4633308.25744427,46.883150753,-120.327104422,564.926,0,SEPCHOKE_B3E6   SPKE,BPKT,SEPTENTRIO,SEPT POLARX5,5.2.0,3013465
320,118,CCPW,-2070279.84805194,-3897144.40725366,4590336.65790445,46.321199478,-117.978578678,497.798,0,TPSCR.G3        TPSH,CCPW,TOPCON,TPS NET-G3A,,
58,119,JOBO,-2268353.1158,-3569216.9872,4758481.8044,48.562366677,-122.437281672,-11.214,0,TRM115000.00    NONE,JOBO,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
27,12,CSKI,-2307858.54543975,-3659746.21407275,4670524.56706136,47.380567397,-122.23578385,10.61,0,TRM57971.00     NONE,CSKI,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,
366,120,LCRS,-2044643.44011714,-3865151.17388488,4628384.33418934,46.819573785,-117.878590951,441.6027,0,SEPCHOKE_B3E6   SPKE,LCRS,SEPTENTRIO,SEPT POLARX5,,
517,121,MLKE,-2125748.8371,-3792062.4429,4651909.6955,47.130921875,-119.274054614,314.752,0,SEPCHOKE_B3E6   SPKE,MLKE,SEPTENTRIO,SEPT POLARX5,5.2.0,3013387
200,124,P429,-2357535.7069,-3790880.0289,4540186.5437,45.676123522,-121.877343553,25.9419,0,TRM59800.80     NONE,P429,TRIMBLE,TRIMBLE NETR9,5.45,5306K41873
510,126,TWSP,-2130673.8044,-3672405.7792,4744334.4445,48.365539772,-120.121653058,478.079,0,TRM115000.00    NONE,TWSP,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,
