"Unique Number","Name","Established by","Condition","NTS map sheet","Latitude","Latitude sigma","Longitude","Longitude sigma","Ellipsoidal height","Ellipsoidal height sigma","V(n)","Vsig(n)","V(e)","Vsig(e)","V(u)","Vsig(u)","Reference system","Published year","Project ID","CGVD2013","CGVD2013 Published Year","CGVD2013 Project ID","IGLD85","IGLD85 Published Year","IGLD85 Project ID","CGVD28","CGVD28 Published Year","CGVD28 Project ID",
756047,PRDS CACS-GSD,CANADIAN GEODETIC SURVEY - NRCAN,INACCESSIBLE,"082J16",50.87134578,0.0006,114.29348037,0.0004,1248.3701,0.0009,-0.1087,0.9865,3.0974,0.6138,-0.5552,1.6062,NAD83CSRS,2019,M18-020,1263.923,2013,H13ML1311,,,,1263.753,1995,N5A95,
965001,SASK CACS-GSD,CANADIAN GEODETIC SURVEY - NRCAN,GOOD,"073B01",52.19624791,0.0005,106.39833918,0.0003,579.4035,0.0009,-1.0469,0.1948,2.8239,0.1063,-1.667,0.2779,NAD83CSRS,2019,M18-020,600.370,2013,H13ML1311,,,,600.674,1998,N11S98,
7787017,WHIT CACS-GSD,LEGAL SURVEY OF CANADA - NRCAN,INACCESSIBLE,"105D14",60.75050925,0.0004,135.22208751,0.0003,1427.2327,0.0008,3.9035,0.2397,3.6099,0.1748,1.4082,0.4137,NAD83CSRS,2019,M18-020,,,,,,,,,,
889201,YELL CACS-GSD,CANADIAN GEODETIC SURVEY - NRCAN,GOOD,"085J08",62.48088742,0.0002,114.48067877,0.0001,181.0685,0.0002,-0.8305,0.2089,2.611,0.1394,5.0496,0.3684,NAD83CSRS,2019,M18-020,207.666,2013,H13ML1311,,,,207.922,1989,CP89213,
927000,ALBH WCDA-PGC,CANADIAN GEODETIC SURVEY - NRCAN,GOOD,"092B06",48.38977694,0.0004,123.48745294,0.0003,32.0509,0.0006,5.3246,0.183,8.0968,0.1242,-0.9166,0.2377,NAD83CSRS,2019,M18-020,50.183,2013,H13VI1311,,,,50.055,1992,N1C92A,
M027005,BAMF WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092C14",48.83532518,0.0006,125.13508671,0.0005,11.0238,0.0011,7.5211,0.4624,11.4022,0.3735,0.6224,0.7828,NAD83CSRS,2019,M18-020,28.945,2013,H13VI1311,,,,28.784,2002,N1C02,
M007003,BCOV WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,GOOD,"092L10",50.54427733,0.0007,126.84262359,0.0005,37.5311,0.0011,5.0123,1.0779,3.8822,0.7978,0.4781,1.8213,NAD83CSRS,2019,M18-020,,,,,,,,,,
987012,BLCL COOLA-WCDA-PGC,CANADIAN GEODETIC SURVEY - NRCAN,GOOD,"093D07",52.38826001,0.001,126.58923467,0.0007,24.858,0.0017,2.5718,0.1619,1.3096,0.1188,3.5958,0.2639,NAD83CSRS,2019,M18-020,37.009,2013,H13ML1311,,,,36.744,2000,N6C00,
M147001,BNAB WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,,"103G07",53.49325434,0.0018,130.63698239,0.0014,8.5667,0.0031,-0.8932,2.4487,-2.0226,1.8289,-0.381,4.1813,NAD83CSRS,2019,M18-020,,,,,,,,,,
M147003,BNKB WCDA-PGC,GEOLOGICAL SURVEY OF CANADA - NRCAN,,"103H05",53.33148494,0.0017,129.90088419,0.0013,412.373,0.0028,0.7144,0.2631,-0.4005,0.1978,-0.3684,0.4322,NAD83CSRS,2019,M18-020,,,,,,,,,,
